仓库名称,仓库概述,仓库地址
Vue.js/vue-router,🚦TheofficialrouterforVue2,https://gitee.com/vuejs/vue-router.git
Vue.js/vue,"🖖Vue.jsisaprogressive,incrementally-adoptableJavaScriptframeworkforbuildingUIontheweb.",https://gitee.com/vuejs/vue.git
Vue.js/vuepress,📝MinimalisticVue-poweredstaticsitegenerator,https://gitee.com/vuejs/vuepress.git
WangChao/PANDASimSD,GEANT4simulationofplasticscintillatorelectronantineutrinodetectorarray.,https://gitee.com/zhikaiyici/PANDASimSD.git
Vue.js/vuefire,🔥FirebasebindingsforVue.js&Vuex,https://gitee.com/vuejs/vuefire.git
就眠儀式/Rudis,⚡Rudis是一个高性能内存数据库,https://gitee.com/Jmysy/rudis.git
Phytium嵌入式软件/Phytium-FreeRTOS-SDK,本项目发布了Phytium系列CPU的FreeRTOS源代码，参考例程以及配置构建工具,https://gitee.com/phytium_embedded/phytium-free-rtos-sdk.git
平凯星辰（北京）科技有限公司/tiflash,"TiFlashisacolumnarstoragecomponentofTiDBandTiDBCloud,thefully-managedserviceofTiDB",https://gitee.com/pingcap/tiflash.git
xgc/JavaVision,"JavaVision是一个基于Java开发的全能视觉智能识别项目,不仅实现PaddleOCR-V4、YoloV8物体识别、人脸识别、以图搜图等核心功能，还可以轻松扩展到其他领域，如语音识别、动物识别、安防检查等。这使得JavaVision成为一个全面解决多种场景需求的自适应平台。你的⭐️⭐️⭐️Star⭐️⭐️⭐️，是我的动力！如果你觉得还不错，请点上一颗小星星",https://gitee.com/giteeClass/java-vision.git
平凯星辰（北京）科技有限公司/tikv,"TiKVisanopen-source,distributed,andtransactionalkey-valuedatabase",https://gitee.com/pingcap/tikv.git
dromara/newcar,基于CanvasKit-WASM的现代化动画引擎,https://gitee.com/dromara/newcar.git
远方旅者/CDDA-Breeze,CDDA-微风(CDDA-Breeze)是“Cataclysm:DarkDaysAhead”的一个分支。,https://gitee.com/luminous-0123/CDDA-Breeze.git
easii/mapstruct-plus,MapstructPlus是Mapstruct的增强工具，在Mapstruct的基础上，实现了自动生成Mapper接口的功能，并强化了部分功能，使Java类型转换更加便捷、优雅。,https://gitee.com/easii/mapstruct-plus.git
cat2bug/cat2bug-platform,轻量化的开源Bug测试管理系统，Cat2Bug-Platform的宗旨是快速简便跟踪处理缺陷，让所有开发者愉快的处理BUG问题，减少缺陷在软件工程管理中的成本。,https://gitee.com/cat2bug/cat2bug-platform.git
FIT2CLOUD飞致云/MaxKB,💬基于LLM大语言模型的知识库问答系统，1Panel官方出品。,https://gitee.com/fit2cloud-feizhiyun/MaxKB.git
Ascend/ModelLink,昇腾大模型仓库,https://gitee.com/ascend/ModelLink.git
SwimmingLiu/YOLOSHOW,YOLOSHOW-YOLOv5/YOLOv7/YOLOv8/YOLOv9基于Pyside6的图形化界面,https://gitee.com/thatswimming/YOLOSHOW.git
DeepPSP/torch_ecg,deeplearningecgmodelsimplementedusingpytorch,https://gitee.com/deep-psp/torch_ecg.git
JJ-H/gitee_cli,GiteeCLIisatoolwhichinteractwithgiteeserverseamlesslyviaterminal,https://gitee.com/JJ-H/gitee_cli.git
花开富贵/FaceMaster,FaceMaster（人脸识别大师）是一款基于Python的入门级人脸识别项目，旨在为用户提供简单易用的图片和视频人脸识别功能。无论是初学者还是有一定编程经验的用户，都能够轻松上手，通过该项目快速了解和应用人脸识别技术。,https://gitee.com/qq153128151/FaceMaster.git
簡 Kan/lunisolar,Typescript农历库，支持各类黄历数据查询，如八字四柱、阴历、神煞宜忌、建除十二神、胎神占方、五行纳音等，数据基于《协纪辨方书》、“香港天文台-公历与农历日期对照表“，专业可靠。支持自定义插件。,https://gitee.com/waterbeside/lunisolar.git
AirPower/AirPower,"🔥🔥🔥AirPower,一个基于TypeScript的开发工具包,内置了数据转换、装饰器、时间日期处理、加解密与散列、文件处理、常用枚举和字典、常见数据结构处理等工具。",https://gitee.com/air-power/AirPower.git
guolong/manci,一个Jenkinslibrary库，轻松集成实现各个代码平台的CI/CD流程/giteeci,https://gitee.com/guojongg/manci.git
gzbkey/LingDongGUI,灵动GUI是基于ARM-2D进行开发的GUI，极大降低ARM-2D的使用难度,https://gitee.com/gzbkey/LingDongGUI.git
dromara/SayOrder,"该项目是基于easyAi引擎的JAVA高性能，低成本，轻量级智能客服。可与用户自动对话，自动捕捉订单信息，分辨用户需求，自动生成订单。也可自动回答用户疑问，提供处理需求的问答服务，是全网速度最快的java开源智能自主客服！",https://gitee.com/dromara/sayOrder.git
北京儒特科技有限公司/QingShuang,青霜框架——新形态、轻量化、微内核软件开发框架,https://gitee.com/beijing-root/qingshuang.git
王华/航天算法库AstroLib,航天/卫星建模与仿真算法库AstroLib。🚀卫星仿真必备底层专业算法。包含矢量/矩阵、时间/坐标系统、姿态/轨道、空间环境、插值/积分算法等仿真需要的基本程序。包含飞行器六自由度仿真、空间交会、并行仿真等完整仿真实例。,https://gitee.com/wanghmail/AstroLib.git
TommyLemon/UIGO,📱零代码快准稳UI智能录制回放平台🚀像素级自动兼容任意宽高比分辨率屏幕，毫秒级自动精准等待网络请求，录制回放快、准、稳！用户包含腾讯，应微信团队邀请分享了零代码测试工具与实践(API•单元•UI),https://gitee.com/TommyLemon/UIGO.git
EwaVM/EwaVM,新一代轻量级可嵌入的WebAssembly虚拟机和运行时，轻松享受基于FullJIT理念的高效执行,https://gitee.com/ewa-vm/EwaVM.git
dromara/DyJava,DyJava是一款功能强大的抖音Java开发工具包（SDK），支持抖音各个应用OpenAPI快速调用，包括但不限于移动/网站应用、抖音开放平台、抖店、TikTok和抖音小程序等。DyJava致力于简化开发流程，提高开发效率，让开发者能够更专注于创新和业务逻辑的实现。,https://gitee.com/dromara/dy-java.git
Dory-Engine/dory-engine,Dory-Engine是一个非常简单的应用上云引擎,https://gitee.com/dory-engine/dory-engine.git
Leon Lambert/ToolsFx,"基于kotlin+tornadoFx的跨平台密码学工具箱.包含编解码,编码转换,加解密,哈希,MAC,签名,大数运算,压缩,二维码功能,ctf等实用功能,支持插件",https://gitee.com/LeonShih/ToolsFx.git
deepin-community/youqu,YouQu（有趣），一个使用简单且功能强大的自动化测试框架。,https://gitee.com/deepin-community/youqu.git
ICEGL/icegl-three-vue-tres,🎉🎉🎊一款让你的三维可视化项目快速落地の开源框架🎊🎉🎉永久开源免费商用数字孪生三维可视化threejswebglthreethree.js,https://gitee.com/ice-gl/icegl-three-vue-tres.git
Monster/RapidOcr-Java,🔥🔥🔥Java代码实现调用RapidOCR(基于PaddleOCR)，适配Mac、Win、Linux，支持最新PP-OCRv4,https://gitee.com/lc_monster/rapid-ocr-java.git
Liereyy/Satori,Transformer+ReinforcementLearning打麻将,https://gitee.com/princesslaffey/satori.git
Token/FastWiki,本项目是一个高性能、基于最新技术栈的知识库系统，专为大规模信息检索和智能搜索设计。利用微软SemanticKernel进行深度学习和自然语言处理，结合.NET8和react前端框架，后台采用MasaFramework，实现了一个高效、易用、可扩展的智能向量搜索平台。我们的目标是提供一个能够理解和处理复杂查询的智能搜索解决方案，帮助用户快速准确地获取所需信息。,https://gitee.com/hejiale010426/fast-wiki.git
eternal-echo/coordinator,基于STM32和RT-Thread的zigbee网关，支持wifi模块和nbiot模块。,https://gitee.com/eternal__echo/coordinator.git
whyes/XrayGLM,XrayGLM在医学影像诊断和多轮交互对话上显示出了非凡的潜力。,https://gitee.com/WangHaoyuuu/XrayGLM.git
JanKinCai/jppe-rs,这是一个基于Rust实现的字节流结构化序列化/反序列化通用库，可以应用于网络数据包解析、网络数据包组包、网络通信、文件内容解析等,https://gitee.com/JanKinCai/jppe-rs.git
panday/chat-master,ChatMASTER，基于AI大模型api实现的ChatOwner服务，支持一键切换ChatGPT(3.5、4.0)模型，月之暗面(Kimi)、文心一言(支持Stable-Diffusion-XL作图)、通义千问、讯飞星火、智谱清言(ChatGLM)等主流模型，支出同步响应及流式响应，完美呈现打印机效果。,https://gitee.com/panday94/chat-master.git
uptown/DatalinkX,基于flink的异构数据源流转系统🔥🔥,https://gitee.com/atuptown/datalinkx.git
上海清华国际创新中心/ventus-gpgpu,"GPGPUprocessorsupportingRISCV-Vextension,developedwithChiselHDL",https://gitee.com/tsinghua-sh/ventus-gpgpu.git
jiangtao/iCupBox,这是一款智能杯垫产品，基于GTD时间管理理念设计，目的是提醒上班族们专心工作和及时喝水休息，提高工作效率。,https://gitee.com/jiangtao008/iCupBox.git
yzwcfhmy/X-QSL业余无线电ADIF工具,批量QSO生成ADIF工具是一款方便快捷的工具，用于生成ADIF格式的QSO（联系）日志文件。通过输入一串QSO信息，用户可以轻松生成符合规范的ADIF文件，以便快速上传lotw日志，支持配置好TQSL路径和台站名称一键上传。,https://gitee.com/yuzhenwu/x-qsl-amateur-radio-adif-tool.git
OSCC/iFlow,iFlow用于支持数字芯片后端自动化设计流程，支持skywater130工艺，openroad和iEDA工具。,https://gitee.com/oscc-project/iFlow.git
fufei/fly-barrage 弹幕库,ヾ(*´▽‘*)ﾉ👑🐋🎉功能完善，强大的web端弹幕库。包含完整DEMO，可快速上手。,https://gitee.com/fei_fei27/fly-barrage.git
华中科技大学操作系统团队/fpga-pynq,在pynq-z1上实现RISC-V处理器Rocket-Chip，并在其上添加各种外设。,https://gitee.com/hustos/fpga-pynq.git
TobudOS/kernel,TobudOS内核代码仓,https://gitee.com/tobudos/kernel.git
imi 开发组/imi-ai,imi-ai是一个基于PHP+Swoole+Vue的ChatGPT开源项目，可以简单快速部署。,https://gitee.com/imiphp/imi-ai.git
RTE-Dev/RedPlayer,REDPlayer是一款由小红书自主研发的跨平台(支持Android、iOS、HarmonyOS等平台)播放器。不同于行业其他播放器，REDPlayer具有结构简单、耦合度低、功能边界清晰等特点，提供了多种接入方式，技术人员可根据需要灵活选择，既可快速集成SDK使用，也可基于源码进行定制开发。,https://gitee.com/rte-dev/RedPlayer.git
xieguigang/Darwinism,DarwinismHighperformancecomputingtoolkitforVisualBasic.NETonunix.net5,https://gitee.com/xieguigang/Darwinism.git
MzMedia/MzMedia,MzMedia开源视频联动物联网平台，简单易用，更适合中小企业和个人学习使用。适用于智能家居、农业监测、水利监测、工业控制，车联网，视频联动等场景。,https://gitee.com/mzmedia/mz-media.git
zan8in/afrog,afrog是一款性能卓越、快速稳定、PoC可定制化的漏洞扫描工具-Atoolforfindingvulnerabilities,https://gitee.com/zanbin/afrog.git
京东开源/sbom-tool,SBOM-TOOL是通过源码仓库、代码指纹、构建环境、制品信息、制品内容、依赖组件等多种维度信息，为软件项目生成软件物料清单（SBOM）的一款CLI工具。,https://gitee.com/JD-opensource/sbom-tool.git
weibaohui/blazork8s,使用C#Blazor编写的kubernetes管理工具，集成了ChatGPT智能检测能力，用简单易用的操作界面，提升k8s管理效率。,https://gitee.com/weibaohui/blazork8s.git
小为/streamlit-g2,AvisualizationgrammarbasedonG2forstreamlit.,https://gitee.com/hustcc/streamlit-g2.git
Alvin/Gitlab-Sync,Gitlab-Sync是一款专为解决Gitlab仓库迁移问题而设计的高效、灵活的工具，它可以帮助用户在不丢失数据，轻松的迁移Gitlab中的用户、组、和项目，支持用户根据自己的需求选择迁移指定的用户、组或项目，或者一次性迁移所有用户、组和项目。,https://gitee.com/alvin-1998/gitlab-sync.git
swoole/phpy,连接Python与PHP生态,https://gitee.com/swoole/phpy.git
VisActor/VTable,"VTableisnotjustahigh-performancemultidimensionaldataanalysistable,butalsoagridartistthatcreatesartbetweenrowsandcolumns.",https://gitee.com/VisActor/VTable.git
深圳北理莫斯科大学RoboMaster北极熊战队/pb_rm_simulation,"ROS2-GazebosimulationpackageleveragingMid360andFASTLIOfornavigation.Contactme(QQ):757003373",https://gitee.com/SMBU-POLARBEAR/pb_rm_simulation.git
诺司时空/cnosdb,CnosDB是一个具有高性能、高压缩比和高可用性的开源分布式时间序列数据库。,https://gitee.com/cnosdb/cnosdb.git
nature-lang/parker,🍀轻量级打包工具与容器运行时，一条命令将工作目录打包成可执行文件,https://gitee.com/nature-lang/parker.git
Tosone/sigma,OCI-Nativeartifactmanager,https://gitee.com/xtosone/sigma.git
Wails/wails,使用Go构建漂亮的跨平台应用程序。中文开发者交流群（QQ群）：397646320,https://gitee.com/wailsapp/wails.git
TEO Cloud/teo,以结构为核心的新一代网络框架，支持Node.js、Python和Rust。能为前端生成请求包，大大节省开发时间。,https://gitee.com/teocloud/teo.git
1991wangliang/springboot-starter-gemini,springboot-starter-gemini一个基于gemini提供的springbootsdk,https://gitee.com/wangliang1991/springboot-starter-gemini.git
xieguigang/GCModeller,genomicsCAD(ComputerAssistantDesign)Modellersystemin.NETlanguage,https://gitee.com/xieguigang/GCModeller.git
ChairC/Integrated-Design-Diffusion-Model,"IDDM(工业，景观，动画…)，支持DDPM,DDIM,web和多gpu分布式训练。Pytorch实现、生成模型、扩散模型、分布式训练",https://gitee.com/chairc/Integrated-Design-Diffusion-Model.git
xieguigang/mzkit,"DatatoolkitsforprocessingNMR,MALDIMSI,MALDIsinglecell,RamanSpectroscopy,LC-MSandGC-MSrawdata,chemoinformaticsdataanalysisanddatavisualization.",https://gitee.com/xieguigang/mzkit.git
opfe/openNES-Snake,"https://github.com/sebastiandine/openNES-Snake.gitSimplerebuiltoftheclassicSnakegamefortheNESinCusingthecc65crosscompiler.",https://gitee.com/opfe/openNES-Snake.git
讯飞星火开源/iFlytekSpark-13B,"讯飞星火开源-13B（iFlytekSpark-13B）拥有130亿参数，新一代认知大模型，一经发布，众多科研院所和高校便期待科大讯飞能够开源。为了让大家使用的更加方便，科大讯飞增加了更多的数据，并针对工具链进行了优化。此次正式开源拥有130亿参数的iFlytekSpark-13B模型（讯飞星火开源-13B），也是首个基于全国产化算力平台“飞星一号”的大模型，正式开源！",https://gitee.com/iflytekopensource/iFlytekSpark-13B.git
kubevpn/kubevpn,"KubeVPN提供一个云原生开发工具,可以在本地连接云端kubernetes网络的工具，可以在本地直接访问远端集群的服务。也可以在远端集群访问到本地服务，便于调试及开发。同时还可以使用开发模式，直接在本地使用Docker将远程容器运行在本地。",https://gitee.com/kubevpn/kubevpn.git
KwooShung/Randoms,将社区中优秀的随机数项目，实现思路重构并整合到统一的API中，以减少学习曲线。,https://gitee.com/kwooshung/Randoms.git
xieguigang/R-sharp,R#languageisakindofRlikedlanguageimplementson.NETenvironmentforthebioinformaticsdataanalysis,https://gitee.com/xieguigang/R-sharp.git
KwooShung/Files,一个方便高效的文件操作库。,https://gitee.com/kwooshung/Files.git
网易有道/QAnything,QAnything(QuestionandAnswerbasedonAnything)是致力于支持任意格式文件或数据库的本地知识库问答系统，可断网安装使用。,https://gitee.com/netease-youdao/QAnything.git
祝威廉/byzer-llm,简单、高效且低成本的预训练、微调与服务，惠及大众,https://gitee.com/allwefantasy/byzer-llm.git
北鹤/pptshow,Java生成PPT文档，支持2010版PPTX新特性,https://gitee.com/qiruipeng/pptshow.git
LvHuaiSheng/gzm-design,🚀🚀🚀一款漂亮易用的在线设计器，支持PSD导入、PSD解析，可用于海报设计器、广告设计器、logo设计器、AI创作图片合成器等。常用于生成二维码海报，图片海报，二维码推广海报，图片处理，名片设计，电商产品图，节假日海报等。http://gzm-design.guozimi.cn/#/editor,https://gitee.com/sourcenet/gzm-design.git
Vanishi/BXC_VideoAnalyzer_v4,C++开发的视频行为分析系统v4版本,https://gitee.com/Vanishi/BXC_VideoAnalyzer_v4.git
铱塔智联开源/iot-iita,iot-iita物联网平台，包含了品类、物模型、消息转换、插件管理（mqtt插件、EMQX插件、http插件、tcp插件、modbus插件等）、设备管理、设备分组、规则引擎、第三方平台接入、数据流转（http/mqtt/kafka）、数据可视化、告警中心等模块，支持es/td等多种时序数据库。,https://gitee.com/open-iita/iotkit-parent.git
Phytium嵌入式软件/Phytium-Pi-OS,"PhytiumPiOS是用于飞腾派开发板上的嵌入式linux系统，充分适配了飞腾派开发板上的各个接口。整个系统基于Debian，由buildroot构建，并定制了开发软件包，适用于飞腾CPU的软件评估和开发。",https://gitee.com/phytium_embedded/phytium-pi-os.git
WuKongDev/WuKongIM,8年积累，沉淀出来的高性能通用通讯服务，支持即时通讯（聊天软件）(IM)(Chat)，消息推送，消息中台，物联网通讯，音视频信令，直播弹幕，客服系统，AI通讯，即时社区等场景。,https://gitee.com/WuKongDev/WuKongIM.git
wangguanquan/eec,一款轻量且高效的Excel读写工具，它具有包体小、接入代码量少和运行时消耗资源少等优点。它支持10M内存读写百万级数据，同时支持Stream+Lambda方式读文件使你可以像操作集合类一样操作Excel,https://gitee.com/wangguanquan/eec.git
cnsugar/Seetaface6JNI,基于中科院seetaface6进行封装的JAVA人脸识别算法库，支持人脸检测、人脸提取、1:1比对、1:N比对、静默图片活体检测。,https://gitee.com/cnsugar/seetaface6JNI.git
Charent/ChatLM-mini-Chinese,中文对话0.2B小模型（ChatLM-Chinese-0.2B），开源所有数据集来源、数据清洗、tokenizer训练、模型预训练、SFT指令微调、RLHF优化等流程的全部代码。,https://gitee.com/charent/ChatLM-mini-Chinese.git
AntdUI/AntdUI,👚基于AntDesign设计语言的Winform界面库,https://gitee.com/antdui/AntdUI.git
Agents-Flex/Agents-Flex,Agents-Flex：一个基于Java的LLM（大语言模型）应用开发框架。,https://gitee.com/agents-flex/agents-flex.git
想天皮克斯/天天工作台  副屏桌面系统,"一款集桌面管理、效率办公、游戏娱乐为一体的副屏“桌面系统”。除副屏以外，主屏窗口化也可以正常使用。基于Electron和Vue全家桶开发。想天工作台客户端的开源项目库，可编译为客户端或者web网页（web版暂时体验糟糕，不推荐）。如果不会开发的，也可以直接下载官网版本，安装在电脑上就可以使用。",https://gitee.com/tsbrowser/xiangtian-workbench.git
百度开源/QCompute,QComputeisaPython-basedquantumsoftwaredevelopmentkit(SDK).Itprovidesafull-stackprogrammingexperienceforadvancedusersviahybridquantumprogramminglanguagefeaturesandahigh-performancesimulator.,https://gitee.com/baidu/qcompute.git
XRobot/XRobot,XRobot是一套适用于微控制器、Arm/x86Linux和模拟器的机器人开发框架，能够让使用者选择所需的模块并快速搭建成完整的机器人系统。,https://gitee.com/x-robot/XRobot.git
aizuda/snail-job,🔥🔥🔥灵活，可靠和快速的分布式任务重试和分布式任务调度平台,https://gitee.com/aizuda/snail-job.git
FredyXu/Coffee,一个基于ESP32使用ESP-IDF开发的摩尔斯电码练习器。,https://gitee.com/FredyXu/coffee.git
kernelsoft/Photon-RTOS,"PhotonRTOS是一个由国科础石研发，并且符合AUTOSARCPR20-11规范的实时操作系统，它用于车辆底盘控制，汽车状态监控等场景。",https://gitee.com/kernelsoft/photon-rtos.git
DevChat/DevChat,DevChat内核和命令行工具，管理与大模型的对话和提示历史。VSCode插件（免费使用GPT-4）参见：https://zh.devchat.blog/devchat-vscode-installation-guide,https://gitee.com/devchat-ai/devchat.git
MindSpore/mindpandas,"MindSporePandasisadataanalysisframework,whichiscompatiblewithPandasinterfacesandprovidesdistributedprocessingcapabilities.",https://gitee.com/mindspore/mindpandas.git
jeremyczhen/fdbus,FastDistributedBus(FDBus),https://gitee.com/jeremyczhen/fdbus.git
tickbh/wmproxy,"用Rust实现仿nginx，力争实现一个可替代方案，http/https代理,socks5代理,负载均衡,反向代理,静态文件服务器，四层TCP/UDP转发，websocket转发,内网穿透NAT",https://gitee.com/tickbh/wmproxy.git
菲鸽/unibest,unibest-最好用的uniapp开发模板。unibest是由uniapp+Vue3+Ts+Vite4+UnoCss+UniUI驱动的跨端快速启动模板，使用VSCode开发，具有代码提示、自动格式化、统一配置、代码片段等功能，同时内置了大量平时开发常用的基本组件，开箱即用，让你编写uniapp拥有best体验。,https://gitee.com/codercup/unibest.git
yeytytytytyytyt/AirDropPlus,AboutAfiletransferandclipboardsynchronizationtoolbetweenWindowsandiOSdevicesimplementedusingPythonandShortcuts.,https://gitee.com/yeytytytytyytyt/air-drop-plus.git
blossom-editor/blossom,一个支持私有部署的云端存储双链笔记软件，你可以将你所有的笔记，图片，个人计划安排保存在自己的服务器中，并在任意设备之间实时同步。同时还是一个个人博客。,https://gitee.com/blossom-editor/blossom.git
WMJ/Codist,为C#程序员开发的超能VisualStudio效率提升器，带有高级语法突出显示、超级代码提示、智能编辑器工具条、可拖放多层级代码导航栏、滚动条标记、自动更改编译输出文件版本号等功能。,https://gitee.com/wmjordan/Codist.git
OI 开源/VISLite,🎃灵活、快速、简单的数据可视化交互式跨端前端库💯,https://gitee.com/oi-contrib/VISLite.git
Phytium嵌入式软件/Phytium-Standalone-SDK,本项目发布了Phytium系列CPU的StandaloneBSP源码，Baremetal参考例程及其配置构建工具,https://gitee.com/phytium_embedded/phytium-standalone-sdk.git
MindSpore/RingMo-Framework,中科院空天信息创新研究院与华为大模型研发团队联合打造的一款用于视觉领域的全国产化自监督预训练开发套件,https://gitee.com/mindspore/ringmo-framework.git
顾真牛/ai00_rwkv_server,"AI00RWKVServer是一个基于RWKV模型的推理API服务器。支持VULKAN推理加速，可以在所有支持VULKAN的GPU上运行。不用N卡！！！A卡甚至集成显卡都可加速！！！无需臃肿的pytorch、CUDA等运行环境，小巧身材，开箱即用！兼容OpenAI的ChatGPTAPI接口。100%开源可商用，采用MIT协议。",https://gitee.com/cgisky/ai00_rwkv_server.git
隐语SecretFlow/secretpad,SecretPad是一个基于Kuscia的隐私计算的web框架，能够方便的使用基于保护隐私的数据智能和机器学习的能力。,https://gitee.com/secretflow/secretpad.git
